Name	Set	ImageFile	Number	Pack	Type	Sphere	Unique	Traits	Cost	Willpower	Attack	Defense	Health	Encounter Set	Threat	Engagement Cost	Quest Points	Victory Points	OCTGN ID	Setup	Quantity	Text	Shadow
Prince Imrahil	CoC	CoC0138	138	The City of Corsairs	Hero	Tactics	‰	Gondor. Noble. Warrior.	11	2	3	2	4						66cf39b5-015f-4bae-b304-4a61b5d1bedf			Combat Action: Spend 1 resource from Prince Imrahil’s resource pool to search the top 5 cards of your deck for an ally who shares at least 1 Trait with him, and put that ally into play. Shuffle your deck. At the end of the phase, if that ally is still in play, shuffle it into your deck. (Limit once per round.)	
Knight of the White Tower	CoC	CoC0139	139	The City of Corsairs	Ally	Leadership		Gondor. Warrior.	4	2	2	3	3						2aa91555-4734-400e-ac9f-babe55b1e2dc			Knight of the White Tower’s resource cost must be paid from a single hero’s resource pool.	
Hold the Line	CoC	CoC0140	140	The City of Corsairs	Event	Leadership			0										5604685f-3fac-40da-8999-62a9b69a153b			Response: When an enemy attacks a player, that player may declare up to 3 eligible characters as defenders against this attack. Then, the players as a group may spend 2 Ï resources to ready each defending character that takes no damage from this attack.	
Soldier of Dol Amroth	CoC	CoC0141	141	The City of Corsairs	Ally	Tactics		Gondor. Warrior.	2	0	1	1	2						91c6862b-0fe6-44bd-8745-a685f03ab6ed			Response: After Soldier of Dol Amroth enters play, reduce the cost of the next Ï card you play this phase by 1.	
Sulien	CoC	CoC0142	142	The City of Corsairs	Ally	Spirit	‰		4	3	0	2	2						daf23298-67fa-41c5-aff6-a3b7fef2014e			Dúnedain. Scout.Action: Spend 1 Î resource to exhaust Súlien. Then, each location in the staging area gets –1 $ until the end of the phase. Any player may trigger this action.	
Inspiring Presence	CoC	CoC0143	143	The City of Corsairs	Event	Spirit			2										711c92f7-1fe3-4820-82af-9f4e3f7f9647			Action: Choose a hero you control. Each hero with lower threat cost than the chosen hero gets +2 Ú until the end of the phase. Then, the players as a group may spend 2 Ì resources to give +2 Û to each hero with lower threat cost than the chosen hero until the end of the phase.	
Guardian of Ithilien	CoC	CoC0144	144	The City of Corsairs	Ally	Lore		Gondor. Ranger.	1	0	1	0	1						dba87655-87e0-44b6-ba45-caf86ce723eb			Response: After Guardian of Ithilien enters play, return an enemy engaged with you to the staging area.	
Ranger Spear	CoC	CoC0145	145	The City of Corsairs	Attachment	Lore		Item. Weapon.	1										80a03178-4039-4b2c-a2c4-2d546aa9b0b2			Attach to a Ranger character. Restricted.Attached character gets +1 Û (+2 Û instead when attacking an enemy with an attachment on it).	
Prince of Dol Amroth	CoC	CoC0146	146	The City of Corsairs	Attachment	Neutral	‰	Title.	3										3903cf5b-0ca8-4cd9-8943-490a7af601e5			Attach to Prince Imrahil.Prince Imrahil gains the Outlands trait.While you control Outlands allies that belong to 4 different spheres, add 1 additional resource to Prince Imrahil’s pool when you collect resources during the resource phase (if Prince Imrahil is a hero).	
The Coast of Umbar	CoC	CoC0147A,CoC0147B	147	The City of Corsairs	Quest									Coast of Umbar					c79ff551-f816-4106-9c55-e22d175e544c	sssttttttt		Setup: Shuffle the Coast of Umbar, Corsair Raiders, Stormy Weather, Umbar Fleet, and Voyage Across Belegaer encounter sets into one encounter deck and make it the active encounter deck. Set The City of Corsairs encounter set aside, as an inactive second encounter deck. Prepare the Corsair deck. Players prepare their fleet. Add the Stormcaller to the staging area. Add 1 copy of Southern Belfalas to the staging area (2 instead if there are 3 or 4 players in the game). Shuffle the encounter deck.	
